Indicador,Indicador (descrição),Temas,Regionalizado por,Responsável,Interessado,Variável,Variável (descrição),Fonte checada,Forma de obtenção
184,População com deficiência visual em relação ao total de pessoas com deficiência (%),Acessibilidade e Pessoa com Deficiência ,    1 Municipio(s),CAGI,SMPED,V0197,População com Deficiência Visual,IBGE,IBGE - Censo
185,População com deficiência motora em relação ao total de pessoas com deficiência (%),Acessibilidade e Pessoa com Deficiência ,    1 Municipio(s),CAGI,SMPED,V0198,População com deficiência motora,IBGE,IBGE - Censo
185,População com deficiência motora em relação ao total de pessoas com deficiência (%),Acessibilidade e Pessoa com Deficiência ,    1 Municipio(s),CAGI,SMPED,V0194,População com Deficiência,IBGE,IBGE - Censo
186,Vítimas de acidentes de trânsito (por 100 mil habitantes),Mobilidade e Segurança no Trânsito ,    1 Municipio(s)    32  Subprefeitura(s),SMT,SMT,V0192,Vítimas de acidentes de trânsito (óbitos e não fatais),CET,Envio da Secretaria
186,Vítimas de acidentes de trânsito (por 100 mil habitantes),Mobilidade e Segurança no Trânsito ,    1 Municipio(s)    32  Subprefeitura(s),SMT,SMT,V0001,População total,Seade,SEADE
187,Número de servidores municipais ativos,Gestão Pública ,    1 Municipio(s),SEGES,SEGES,V0199,Servidores municipais ativos da administração direta do governo,SEGES,Dados Abertos
188,Servidores municipais ativos com deficiência (%),"Acessibilidade e Pessoa com Deficiência, Gestão Pública",    1 Municipio(s),SEGES,SEGES,V0200,Servidores ativos da administração direta do governo municipal que se autodeclaram com deficiência,SEGES,Dados Abertos
188,Servidores municipais ativos com deficiência (%),"Acessibilidade e Pessoa com Deficiência, Gestão Pública",    1 Municipio(s),SEGES,SEGES,V0199,Servidores municipais ativos da administração direta do governo,SEGES,Dados Abertos
189,Solicitações do 156 - Acessibilidade (%),"Acessibilidade e Pessoa com Deficiência, Gestão Pública",    1 Municipio(s),SMIT,SMIT,V0202,Total de solicitações do serviço 156 - acessibilidade,SMIT,Dados Abertos
189,Solicitações do 156 - Acessibilidade (%),"Acessibilidade e Pessoa com Deficiência, Gestão Pública",    1 Municipio(s),SMIT,SMIT,V0201,Total de solicitações do serviço 156,SMIT,Dados Abertos
190,Total de solicitações do serviço 156,Gestão Pública ,    1 Municipio(s),SMIT,SMIT,V0201,Total de solicitações do serviço 156,SMIT,Dados Abertos
191,Atendimentos de Proteção Social Especial realizados pelo Centro de Referência Especializado de Assistência Social,Assistência Social ,    1 Municipio(s)    32  Subprefeitura(s),SMADS,SMADS,V0203,Atendimento nas unidades de CREAS e Centro Pop,SMADS,Envio da Secretaria
192,01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo),"Assistência Social, Trabalho e Renda, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SMADS,SMADS,V0204,Famílias no cadastro único em situação de extrema pobreza,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",Microdados do Cadastro Único
193,01.03.02 Quantidade de famílias beneficiárias do Programa Bolsa Família,"Assistência Social, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SMADS,SMADS,V0205,Famílias beneficiadas pelo Bolsa Família,SMADS,SMADS - COVS
195,Número de usuários matriculados nos serviços municipais de leitura,Cultura ,    1 Municipio(s),SMC,SMC,V0208,Matrículas - serviços municipais de leitura,SMC,Relatório
196,Quantidade de empréstimos de livros e outros itens realizados pelas bibliotecas municipais e pontos de leitura,Cultura ,    1 Municipio(s),SMC,SMC,V0209,Empréstimos bibliotecas municipais e pontos de leitura,SMC,Relatório
197,Equipamentos públicos municipais de cultura (por 100 mil habitantes),"Cultura, ",    1 Municipio(s),SMC,SMC,V0210,Número de equipamentos culturais,SMC,Dados Abertos
197,Equipamentos públicos municipais de cultura (por 100 mil habitantes),"Cultura, ",    1 Municipio(s),SMC,SMC,V0001,População total,Seade,SEADE
198,Número de movimentação de aeronaves nos principais aeroportos da cidade,Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0211,Movimentação de aeronaves nos principais aeroportos da cidade,SPTuris,SPTuris - Observatório de Turismo 
199,Valor arrecadado de dívida ativa,Finanças Públicas ,    1 Municipio(s),SF,SF,V0157,Valor arrecadado de dívida ativa,SF,Envio da Secretaria
200,"08.09.01 Arrecadação de Imposto Sobre Serviços (ISS) de serviços de turismo, hospedagem, eventos e assemelhados (R$)","Finanças Públicas, ODS São Paulo, Turismo",    1 Municipio(s),SPTuris,SPTuris,V0158,"Imposto sobre serviços de qualquer natureza (ISS) recolhido de serviços de turismo, hospedagem, eventos e assemelhados",SPTuris,SPTuris - Observatório de Turismo 
201,Coeficiente de Gini ,Trabalho e Renda ,    1 Municipio(s),CAGI,SMDET,V0159,Coeficiente de Gini (rendimento domiciliar per capita),IBGE,IBGE - Censo
202,Investimento público per capita,Finanças Públicas ,    1 Municipio(s),CAGI,SF,V0162,Investimento realizado pela Prefeitura - Valor Empenhado (R$),SF,Dados Abertos
202,Investimento público per capita,Finanças Públicas ,    1 Municipio(s),CAGI,SF,V0001,População total,Seade,SEADE
203,Investimento realizado pela Prefeitura - Valor Empenhado (R$),Finanças Públicas ,    1 Municipio(s),CAGI,SF,V0162,Investimento realizado pela Prefeitura - Valor Empenhado (R$),SF,Dados Abertos
204,Notas Fiscais Eletrônicas de Serviço emitidas,Finanças Públicas ,    1 Municipio(s),SF,SF,V0163,Notas Fiscais Eletrônicas de Serviço emitidas,SF,Envio da Secretaria
205,17.01.01 Participação do Imposto Predial e Territorial Urbano - IPTU na Receita Corrente municipal (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0165,Receita do Imposto Predial e Territorial Urbano (IPTU),SF,Relatório
205,17.01.01 Participação do Imposto Predial e Territorial Urbano - IPTU na Receita Corrente municipal (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0164,Receita Corrente da Prefeitura Municipal de São Paulo,SF,Relatório
206,17.01.02 Participação do Imposto Sobre Serviços - ISS na Receita Corrente municipal (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0166,Receita do Imposto Sobre Serviços (ISS),SF,Relatório
206,17.01.02 Participação do Imposto Sobre Serviços - ISS na Receita Corrente municipal (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0164,Receita Corrente da Prefeitura Municipal de São Paulo,SF,Relatório
207,Participação do ITBI-IV na Receita Corrente municipal (%),Finanças Públicas ,    1 Municipio(s),CAGI,SF,V0167,Receita do Imposto sobre Transmissão “Inter Vivos” (ITBI-IV),SF,Relatório
207,Participação do ITBI-IV na Receita Corrente municipal (%),Finanças Públicas ,    1 Municipio(s),CAGI,SF,V0164,Receita Corrente da Prefeitura Municipal de São Paulo,SF,Relatório
208,17.01.04 Participação dos Impostos Municipais na Receita Corrente municipal (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0164,Receita Corrente da Prefeitura Municipal de São Paulo,SF,Relatório
208,17.01.04 Participação dos Impostos Municipais na Receita Corrente municipal (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0168,Receita dos impostos municipais,SF,Relatório
209,Número de atendimentos realizados pelas Centrais de Informações Turísticas (CITs),Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0213,Atendimentos realizados pelas centrais de informação turística (CTis),SPTuris,SPTuris - Observatório de Turismo 
210,Fluxo de passageiros nos aeroportos,Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0214,Embarques e desembarques de passageiros nos aeroportos,SPTuris,SPTuris - Observatório de Turismo 
211,08.01.02 Produto Interno Bruto (PIB) per capita a preços correntes (R$ mil),"Economia, ODS São Paulo",    1 Municipio(s),CAGI,SMDET,V0169,Produto Interno Bruto (PIB) a preços correntes (R$ mil),Seade,SEADE
211,08.01.02 Produto Interno Bruto (PIB) per capita a preços correntes (R$ mil),"Economia, ODS São Paulo",    1 Municipio(s),CAGI,SMDET,V0001,População total,Seade,SEADE
212,Fluxo de passageiros nos terminais rodoviários,Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0215,Desembarques de passageiros nos terminais rodoviários,SPTuris,SPTuris - Observatório de Turismo 
213,Movimentação de Ônibus nos terminais rodoviários (Chegadas),Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0216,Movimentação de ônibus nos terminais rodoviários,SPTuris,SPTuris - Observatório de Turismo 
214,Preço médio das diárias em hosteis (R$),Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0218,Preço médio das diárias em hostels,SPTuris,SPTuris - Observatório de Turismo 
215,Taxa de desemprego (%),Trabalho e Renda ,    1 Municipio(s),CAGI,SMDET,V0170,Taxa de desemprego (%),-,-
216,17.01.05 Taxa de inadimplência dos contribuintes do IPTU (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),SF,SF,V0171,Valor total de IPTU acumulado,SF,Envio da Secretaria
216,17.01.05 Taxa de inadimplência dos contribuintes do IPTU (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),SF,SF,V0593,Valor em inadimplência do IPTU acumulado,SF,Envio da Secretaria
217,Notas Fiscais Eletrônicas emitidas (R$ milhões),Finanças Públicas ,    1 Municipio(s),SF,SF,V0173,Valor das notas fiscais eletrônicas emitidas e não canceladas,SF,Envio da Secretaria
218,Créditos gerados pela Nota Fiscal Paulistana (R$ milhões),Finanças Públicas ,    1 Municipio(s),SF,SF,V0175,Valor dos créditos gerados pela Nota Fiscal Paulistana (R$),SF,Envio da Secretaria
219,Preço médio das diárias em hotéis (R$),Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0219,Preço médio das diárias em hotéis,SPTuris,SPTuris - Observatório de Turismo 
220,Preço médio das diárias em hotéis (R$) - fins de semana,Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0220,Preço médio das diárias em hotéis - fins de semana,SPTuris,SPTuris - Observatório de Turismo 
221,Orçamento empenhado com Saúde - referência mínimo constitucional (%),Finanças Públicas ,    1 Municipio(s),SF,SF,V0181,Receita da Prefeitura de São Paulo decorrente de impostos realizados - base Saúde,SF,Envio da Secretaria
221,Orçamento empenhado com Saúde - referência mínimo constitucional (%),Finanças Públicas ,    1 Municipio(s),SF,SF,V0182,Aplicação da receita decorrente de impostos em Saúde - Valor empenhado do orçamento,SF,Envio da Secretaria
222,Taxa de ocupação dos hosteis (%),Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0221,Taxa de ocupação - hostels,SPTuris,SPTuris - Observatório de Turismo 
223,08.09.02 Taxa de ocupação média dos hotéis (%),"ODS São Paulo, Turismo",    1 Municipio(s),SPTuris,SPTuris,V0222,Taxa de ocupação - hotéis,SPTuris,SPTuris - Observatório de Turismo 
224,Orçamento empenhado com Educação - referência mínimo constitucional e lei orgânica municipal (%),Finanças Públicas ,    1 Municipio(s),SF,SF,V0183,Receita da Prefeitura de São Paulo decorrente de impostos realizados - base Educação,SF,Envio da Secretaria
224,Orçamento empenhado com Educação - referência mínimo constitucional e lei orgânica municipal (%),Finanças Públicas ,    1 Municipio(s),SF,SF,V0184,Aplicação da receita decorrente de impostos em Educação - Valor empenhado do orçamento,SF,Envio da Secretaria
225,Taxa média de ocupação dos hotéis nos fins de semana e feriados (%),Turismo ,    1 Municipio(s),SPTuris,SPTuris,V0223,Taxa de ocupação - hotéis nos fins de semana,SPTuris,SPTuris - Observatório de Turismo 
226,Número de projetos contemplados em programas de fomento da Secretaria Municipal de Cultura,"Cultura, ",    1 Municipio(s),SMC,SMC,V0224,Projetos contemplados em programas municipais de fomento cultural,SMC,Envio da Secretaria
227,Vagas disponíveis em programas de formação cultural continuada (por 100 mil habitantes),Cultura ,    1 Municipio(s),SMC,SMC,V0226,Vagas em programas municipais de formação cultural continuada,SMC,Envio da Secretaria
227,Vagas disponíveis em programas de formação cultural continuada (por 100 mil habitantes),Cultura ,    1 Municipio(s),SMC,SMC,V0001,População total,Seade,SEADE
232,#N/A,#N/A,#N/A,#N/A,#N/A,V0239,Unidades Habitacionais de Interesse Social (HIS) licenciadas,SMUL,Dados Abertos
233,#N/A,#N/A,#N/A,#N/A,#N/A,V0241,Unidades de Habitação de Mercado Popular (HMP) licenciadas,SMUL,Dados Abertos
234,Extensão total de vias recapeadas (km),Zeladoria,    1 Municipio(s),SMSUB,SMSUB,V0243,Extensão total de vias recapeadas,SMSUB,Envio da Secretaria
235,Número de ocorrências atendidas – alagamento,Zeladoria ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMSU,V0244,Ocorrências atendidas – alagamento,SIGRC - CUBO,Solicitação ao GeoSampa
236,11.05.02 Número de ocorrências atendidas - deslizamento,"ODS São Paulo, Zeladoria",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMSU,V0251,Ocorrências atendidas – deslizamento,SIGRC - CUBO,Solicitação ao GeoSampa
237,11.05.03 Número de ocorrências atendidas - inundação,"ODS São Paulo, Zeladoria",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMSU,V0253,Ocorrências atendidas – inundação,SIGRC - CUBO,Solicitação ao GeoSampa
238,Número de ocorrências atendidas - queda de árvore,Zeladoria ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMSU,V0254,Ocorrências atendidas – queda de árvore,SIGRC - CUBO,Solicitação ao GeoSampa
239,12.05.07 Resíduos coletados - varrição (t),"Meio Ambiente, ODS São Paulo, Zeladoria",    1 Municipio(s),SPRegula,SPRegula,V0255,Resíduos coletados em ruas e logradouros públicos (t),SPRegula,Envio da Secretaria
240,Coleta de resíduo per capita (t/ano),"Meio Ambiente, Moradia e Saneamento Básico",    1 Municipio(s),SPRegula,SPRegula,V0256,Resíduo doméstico coletado (t),SPRegula,Site Secretaria
240,Coleta de resíduo per capita (t/ano),"Meio Ambiente, Moradia e Saneamento Básico",    1 Municipio(s),SPRegula,SPRegula,V0001,População total,Seade,SEADE
242,12.05.13 Índice de coleta seletiva (%),"Meio Ambiente, Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SPRegula,SPRegula,V0257,Resíduo doméstico coletado seletivamente (t),SPRegula,Site secretaria
242,12.05.13 Índice de coleta seletiva (%),"Meio Ambiente, Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SPRegula,SPRegula,V0256,Resíduo doméstico coletado (t),SPRegula,Site Secretaria
244,Cobertura vegetal no MSP (%),Meio Ambiente ,    1 Municipio(s),SVMA,SVMA,V0261,Área do município (m²),SMUL,GeoSampa
244,Cobertura vegetal no MSP (%),Meio Ambiente ,    1 Municipio(s),SVMA,SVMA,V0260,Cobertura Vegetal (m²),SVMA,GeoSampa
245,Cobertura vegetal per capita (m²/hab),"Meio Ambiente, ",    1 Municipio(s)    32  Subprefeitura(s),SVMA,SVMA,V0001,População total,Seade,SEADE
245,Cobertura vegetal per capita (m²/hab),"Meio Ambiente, ",    1 Municipio(s)    32  Subprefeitura(s),SVMA,SVMA,V0260,Cobertura Vegetal (m²),SVMA,GeoSampa
247,16.04.01 Número de armas recolhidas pela Campanha do Desarmamento pela Guarda Civil Metropolitana - CGM,"ODS São Paulo, Segurança e Violência",    1 Municipio(s),SMSU,SMSU,V0227,Armas recolhidas pela Campanha do Desarmamento pela Guarda Civil Metropolitana - GCM,GCM / SMSU,Envio da Secretaria
248,Área verde pública por habitante (m²/hab),"Meio Ambiente, ",    1 Municipio(s),SVMA,SVMA,V0262,Áreas verdes públicas (m²),SVMA,GeoSampa
248,Área verde pública por habitante (m²/hab),"Meio Ambiente, ",    1 Municipio(s),SVMA,SVMA,V0001,População total,Seade,SEADE
249,#N/A,#N/A,#N/A,#N/A,#N/A,V0018,População - 0 a 17 anos,Seade,SEADE
250,11.06.03 Emissão de dióxido de carbono (CO2) pela frota de ônibus municipais (kg),"Meio Ambiente, ODS São Paulo, ",    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0263,Emissão de CO2 (kg),SPtrans,Envio da Secretaria
251,16.03.01 Número de atendimentos de mediação de conflitos nas Casas de Mediação da GCM,"Direitos Humanos e Cidadania, ODS São Paulo, ",    1 Municipio(s),SMSU,SMSU,V0831,Número total de atendimentos de conflitos nas casas de mediação da GCM,SMSU,Envio da Secretaria
252,11.06.02 Emissão de material particulado (MP) pela frota de ônibus municipais (t),"Meio Ambiente, ODS São Paulo, ",    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0264,Emissão de material particulado (t),SPtrans,Envio da Secretaria
253,Número de casos de notificação de violência contra pessoas idosas,Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0231,Notificações de violência contra pessoas idosas,SINAN,DATASUS
254,16.02.03 Número de casos notificados de violência contra crianças e adolescentes,"ODS São Paulo, Saúde, Segurança e Violência",    1 Municipio(s),CAGI,SMS,V0232,Casos de violência contra crianças e adolescentes,SINAN,DATASUS
255,11.06.01 Emissão de óxidos de Nitrogênio (NOx) pela frota de ônibus municipais (t),"Meio Ambiente, ODS São Paulo, ",    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0265,Emissão de NOx (t),SPtrans,Envio da Secretaria
256,"Número de crimes de oportunidade (furtos, roubos e furtos/roubos de veículos)",Segurança e Violência,    1 Municipio(s),CAGI,SMSU,V0233,Registros de roubos,SSP,Site Secretaria
256,"Número de crimes de oportunidade (furtos, roubos e furtos/roubos de veículos)",Segurança e Violência,    1 Municipio(s),CAGI,SMSU,V0234,Registros de furtos,SSP,Site Secretaria
256,"Número de crimes de oportunidade (furtos, roubos e furtos/roubos de veículos)",Segurança e Violência,    1 Municipio(s),CAGI,SMSU,V0235,Registros de furtos e roubos de veículo,SSP,SSP Transparência
258,Número de ocorrências de estupro registradas,Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0242,Registros de estupros,SSP,Site Secretaria
259,Taxa de mortalidade de idosos por causas externas (por 100 mil na mesma faixa etária),"Saúde, Segurança e Violência",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0245,"Óbitos da população de 60 anos ou mais vítimas de causas externas, exceto vítimas de agressão",SIM,DATASUS
259,Taxa de mortalidade de idosos por causas externas (por 100 mil na mesma faixa etária),"Saúde, Segurança e Violência",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0079,População com idade igual ou superior a 60 anos de idade,Seade,SEADE
260,05.05.02 Servidoras públicas ativas mulheres (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0199,Servidores municipais ativos da administração direta do governo,SEGES,Dados Abertos
260,05.05.02 Servidoras públicas ativas mulheres (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
261,Servidores públicos ativos negros (%),Gestão Pública ,    1 Municipio(s),SEGES,SEGES,V0267,Servidores ativos da administração direta do governo municipal que se autodeclaram negros,SEGES,Dados Abertos
261,Servidores públicos ativos negros (%),Gestão Pública ,    1 Municipio(s),SEGES,SEGES,V0199,Servidores municipais ativos da administração direta do governo,SEGES,Dados Abertos
262,Taxa de mortalidade de idosos vítimas de agressão (por 100 mil na mesma faixa etária),Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0246,Óbitos da população de 60 anos ou mais vítimas de agressão,SIM,DATASUS
262,Taxa de mortalidade de idosos vítimas de agressão (por 100 mil na mesma faixa etária),Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0079,População com idade igual ou superior a 60 anos de idade,Seade,SEADE
263,Taxa de mortalidade de crianças e adolescentes por causas externas (por 100 mil na mesma faixa etária),"Saúde, Segurança e Violência",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0247,"Óbitos de crianças e adolescentes vítimas de causas externas, exceto vítimas de agressão",SIM,DATASUS
263,Taxa de mortalidade de crianças e adolescentes por causas externas (por 100 mil na mesma faixa etária),"Saúde, Segurança e Violência",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0018,População - 0 a 17 anos,Seade,SEADE
264,Índice de Desenvolvimento Humano Municipal (IDHM),Direitos Humanos e Cidadania ,    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMDHC,V0268,Índice de Desenvolvimento Humano Municipal (IDHM),"Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP.",Atlas do Desenvolvimento Humano dos Municípios
265,Índice de Desenvolvimento Humano Municipal (IDHM) - Educação,Direitos Humanos e Cidadania ,    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMDHC,V0269,Índice de Desenvolvimento Humano Municipal (IDHM) - Educação,"Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP.",Atlas do Desenvolvimento Humano dos Municípios
266,Índice de Desenvolvimento Humano Municipal (IDHM) - Longevidade,Direitos Humanos e Cidadania ,    1 Municipio(s),CAGI,SMDHC,V0270,Índice de Desenvolvimento Humano Municipal (IDHM) - Longevidade,"Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP.",Atlas do Desenvolvimento Humano dos Municípios
267,Índice de Desenvolvimento Humano Municipal (IDHM) - Renda,Direitos Humanos e Cidadania ,    1 Municipio(s),CAGI,SMDHC,V0271,Índice de Desenvolvimento Humano (IDHM) - Renda,"Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP.",Atlas do Desenvolvimento Humano dos Municípios
268,Taxa de mortalidade de crianças e adolescentes vítimas de agressão (por 100 mil na mesma faixa etária),Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0248,Óbitos de crianças e adolescentes vítimas de agressão,SIM,DATASUS
268,Taxa de mortalidade de crianças e adolescentes vítimas de agressão (por 100 mil na mesma faixa etária),Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMS,V0018,População - 0 a 17 anos,Seade,SEADE
269,Taxa de mortalidade de mulheres vítimas de agressão (por 100 mil mulheres),Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    19  Subprefeitura(s),CAGI,SMS,V0250,Óbitos de mulheres por agressão,SIM,DATASUS
269,Taxa de mortalidade de mulheres vítimas de agressão (por 100 mil mulheres),Segurança e Violência ,   96 Distrito(s)    1 Municipio(s)    19  Subprefeitura(s),CAGI,SMS,V0249,População total - feminina,Seade,SEADE
270,Taxa de ocorrências registradas de furto e roubo de veículos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0235,Registros de furtos e roubos de veículo,SSP,SSP Transparência
270,Taxa de ocorrências registradas de furto e roubo de veículos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0001,População total,Seade,SEADE
271,Taxa de ocorrências registradas de furtos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0234,Registros de furtos,SSP,Site Secretaria
271,Taxa de ocorrências registradas de furtos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0001,População total,Seade,SEADE
272,Taxa de ocorrências registradas de roubos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0233,Registros de roubos,SSP,Site Secretaria
272,Taxa de ocorrências registradas de roubos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0001,População total,Seade,SEADE
273,Taxa de ocorrências registradas de homicídios dolosos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0252,Registros de homicídios dolosos,SSP,SSP Transparência
273,Taxa de ocorrências registradas de homicídios dolosos (por 100 mil hab),Segurança e Violência ,    1 Municipio(s),CAGI,SMSU,V0001,População total,Seade,SEADE
275,05.02.01 Número de atendimentos pelos equipamentos de mulheres da Secretaria Municipal de Direitos Humanos e Cidadania,"Direitos Humanos e Cidadania, ODS São Paulo",    1 Municipio(s),SMDHC,SMDHC,V0273,Número de atendimentos nos Centros de Referência de Cidadania da Mulher,SMDHC,Envio da Secretaria
275,05.02.01 Número de atendimentos pelos equipamentos de mulheres da Secretaria Municipal de Direitos Humanos e Cidadania,"Direitos Humanos e Cidadania, ODS São Paulo",    1 Municipio(s),SMDHC,SMDHC,V0843,Número de mulheres que passaram por instituições de acolhimento de mulheres da SMDHC,SMDHC,Envio da Secretaria
276,Número de atendimentos nos Centros de Cidadania da Mulher,"Direitos Humanos e Cidadania, ",    1 Municipio(s)    11  Subprefeitura(s),SMDHC,SMDHC,V0274,Número de atendimentos nos Centros de Cidadania da Mulher ,SMDHC,Envio da Secretaria
277,Número de idosos atendidos pelo Polo Cultural do Idoso,"Direitos Humanos e Cidadania, ",    1 Municipio(s),SMDHC,SMDHC,V0275,Número de atendimentos pelo Polo Cultural do Idoso,SMDHC,Envio da Secretaria
278,10.07.01 Número de pessoas atendidas pelo Centro de Referência e Atendimento ao Imigrante (CRAI) ,"Direitos Humanos e Cidadania, ODS São Paulo",    1 Municipio(s),SMDHC,SMDHC,V0276,Pessoas atendidas pelo Centro de Referência e Atendimento ao Imigrante,SMDHC,Dados Abertos
279,10.02.02 Número de pessoas beneficiárias do Programa Transcidadania,"Assistência Social, Direitos Humanos e Cidadania, ODS São Paulo",    1 Municipio(s),SMDHC,SMDHC,V0277,Pessoas beneficiárias do Programa Transcidadania ativas em dezembro de cada ano,SMDHC,Envio da Secretaria
280,População total - mulheres,População ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SGM,V0249,População total - feminina,Seade,SEADE
281,Número de matriculados nos programas de atividade física orientada,Esporte e Lazer ,    1 Municipio(s),SEME,SEME,V0278,Pessoas inscritas nos programas de atividade física orientada,SEME,Envio da Secretaria
282,Equipamentos esportivos municipais (por 10 mil habitantes),"Esporte e Lazer, ",    1 Municipio(s),SEME,SEME,V0279,"Equipamentos municipais de esporte, lazer e recreação",SEME/SMDU,Dados Abertos
282,Equipamentos esportivos municipais (por 10 mil habitantes),"Esporte e Lazer, ",    1 Municipio(s),SEME,SEME,V0001,População total,Seade,SEADE
283,11.01.02 Número de famílias beneficiadas por procedimentos de regularização fundiária em assentamentos precários,"Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SEHAB,SEHAB,V0280,Famílias beneficiadas por procedimentos de regularização fundiária em assentamentos precários,SEHAB,Envio da Secretaria
284,11.01.01 Déficit habitacional em relação ao total de domicílios (%),"Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SEHAB,SEHAB,V0282,"Número de domicílios com déficit, habitações precárias, coabitação e aluguel excedente e adensamento de aluguel",Fundação João Pinheiro (FJP),Fundação João Pinheiro (FJP)
284,11.01.01 Déficit habitacional em relação ao total de domicílios (%),"Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SEHAB,SEHAB,V0281,Domicílios particulares permanentes,Seade,SEADE
285,11.01.03 Número de Unidades Habitacionais entregues (por meio de programas habitacionais e parcerias firmadas),"Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s)    32  Subprefeitura(s),SEHAB,SEHAB,V0283,Unidades Habitacionais entregues (por meio de programas habitacionais e parcerias firmadas),SEHAB,Envio da Secretaria
286,Estimativa de domicílios em favela (%),Moradia e Saneamento Básico ,    1 Municipio(s),SEHAB,SEHAB,V0284,Domicílios em favela,SEHAB,HABITASAMPA
286,Estimativa de domicílios em favela (%),Moradia e Saneamento Básico ,    1 Municipio(s),SEHAB,SEHAB,V0281,Domicílios particulares permanentes,Seade,SEADE
